OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
26611,NonResidential,1.0,2.0,47.5195,-122.26935,Santé,25880.0,0.0,25880.0,25880.0,1889924.875,20.795,1.0,0.0,6
26657,NonResidential,1.0,3.0,47.66517,-122.31037,Loisirs,41013.0,0.0,41013.0,32098.0,1176046.0,40.644999999999996,1.0,0.0,89
26667,NonResidential,1.0,2.0,47.66453,-122.30999,Loisirs,21075.0,0.0,21075.0,18075.0,1548205.875,51.67,1.0,0.0,12
26670,NonResidential,1.0,3.0,47.67842,-122.31949,Loisirs,46485.0,0.0,46485.0,63922.0,1656237.875,47.14,1.0,0.0,66
26681,NonResidential,1.0,4.0,47.67819,-122.3231,Office,56896.0,8064.0,48832.0,40768.0,1649614.25,28.94,0.86,0.14,51
26695,NonResidential,1.0,2.0,47.67783,-122.32577,Loisirs,27500.0,0.0,27500.0,27500.0,545505.5625,13.969999999999999,1.0,0.0,38
26705,NonResidential,1.0,2.0,47.59856,-122.33248,Office,36630.0,0.0,36630.0,22000.0,534873.15625,3.73,1.0,0.0,86
26706,NonResidential,1.0,3.0,47.59954,-122.33115,Office,26830.0,0.0,26830.0,16838.0,2148903.875,58.894999999999996,1.0,0.0,116
26708,NonResidential,1.0,5.0,47.59971,-122.33065,Office,41920.0,0.0,41920.0,41920.0,1173438.375,8.18,1.0,0.0,110
26710,NonResidential,1.0,5.0,47.60048,-122.33157,Office,36879.0,0.0,36879.0,36665.5,1150317.625,23.94,1.0,0.0,111
26711,NonResidential,1.0,6.0,47.60055,-122.33057,Hotel/Senior Care,29820.0,0.0,29820.0,29820.0,1611338.3125,36.754999999999995,1.0,0.0,112
26719,NonResidential,1.0,2.0,47.60026,-122.3299,Office,33640.0,0.0,33640.0,27322.0,1085975.875,7.57,1.0,0.0,111
26720,NonResidential,1.0,4.0,47.59986,-122.32987,Non-Refrigerated Warehouse,43484.0,0.0,43484.0,26416.0,1573818.875,10.969999999999999,1.0,0.0,110
