OSEBuildingID,BuildingType,NumberofBuildings,NumberofFloors,Latitude,Longitude,LargestPropertyUseType,PropertyGFATotal_avg,PropertyGFAParking_avg,PropertyGFABuilding(s)_avg,LargestPropertyUseTypeGFA_avg,SiteEnergyUse(kBtu)_avg,TotalGHGEmissions_avg,ENERGYSTARScore,PropertyGFABuilding(s)_%,PropertyGFAParking_%,Dureedevie
24708,NonResidential,1.0,2.0,47.59508,-122.33378,Office,20150.0,0.0,20150.0,20150.0,573909.0625,4.005,80.0,1.0,0.0,96
24711,NonResidential,1.0,5.0,47.59657,-122.33394,Office,32250.0,0.0,32250.0,32250.0,792034.6875,11.425,92.0,1.0,0.0,106
24712,NonResidential,1.0,7.0,47.59639,-122.33368,Office,36000.0,0.0,36000.0,31500.0,1602981.4375,11.175,40.0,1.0,0.0,107
24720,NonResidential,1.0,1.0,47.58686,-122.33469,Office,22580.0,0.0,22580.0,22580.0,938779.9375,10.235,90.0,1.0,0.0,89
24725,NonResidential,1.0,1.0,47.60192,-122.31641,Non-Refrigerated Warehouse,20000.0,0.0,20000.0,20000.0,649028.0625,28.85,18.0,1.0,0.0,90
24769,NonResidential,1.0,6.0,47.70178,-122.32352,Hotel/Senior Care,244500.0,32362.5,212137.5,244500.0,11404180.0,302.695,100.0,0.87,0.13,7
24781,NonResidential,1.0,1.0,47.55772,-122.33017,Commerce,37247.0,0.0,37247.0,37247.0,1696837.25,56.25,69.0,1.0,0.0,52
24803,NonResidential,1.0,1.0,47.69274,-122.37602,Commerce,25384.0,0.0,25384.0,23468.0,2755483.25,62.325,11.0,1.0,0.0,23
24822,NonResidential,1.0,3.0,47.58462,-122.3347,Office,49052.0,0.0,49052.0,32393.0,1652456.8125,11.52,96.0,1.0,0.0,106
24823,NonResidential,1.0,2.0,47.58318,-122.3347,Non-Refrigerated Warehouse,52110.0,0.0,52110.0,32000.0,494362.59375,20.21,34.0,1.0,0.0,116
24825,NonResidential,1.0,2.0,47.58292,-122.33468,Office,20970.0,0.0,20970.0,20970.0,254740.54690000002,6.355,100.0,1.0,0.0,106
24840,NonResidential,1.0,1.0,47.57529,-122.33475,Office,26310.0,0.0,26310.0,24000.0,768209.34375,13.235,96.0,1.0,0.0,93
24857,NonResidential,1.0,1.0,47.54723,-122.28455,Commerce,37883.0,0.0,37883.0,28734.0,11513071.0,365.0,88.0,1.0,0.0,50
24862,NonResidential,1.0,3.0,47.53887,-122.37564,Education,29874.0,0.0,29874.0,31375.0,1245296.375,52.6,95.0,1.0,0.0,54
24868,NonResidential,1.0,1.0,47.64,-122.39743,Loisirs,20140.0,0.0,20140.0,22000.0,1002096.84375,47.495,35.0,1.0,0.0,51
24886,NonResidential,1.0,2.0,47.60104,-122.30155,Office,39953.0,0.0,39953.0,30100.0,1530603.4375,27.975,93.0,1.0,0.0,45
24893,NonResidential,1.0,2.0,47.60009,-122.3017,Commerce,21200.0,0.0,21200.0,14168.0,1702610.25,11.870000000000001,15.0,1.0,0.0,18
24895,NonResidential,1.0,1.0,47.59881,-122.30189,Commerce,30630.0,0.0,30630.0,28470.0,6282997.0,53.69,27.0,1.0,0.0,36
24896,NonResidential,1.0,2.0,47.59881,-122.30189,Commerce,23421.0,0.0,23421.0,19271.0,1931327.1875,13.465,25.0,1.0,0.0,36
24908,SPS-District K-12,1.0,3.0,47.6763,-122.38051,Education,117116.0,0.0,117116.0,117116.0,5200061.25,229.48000000000002,83.0,1.0,0.0,85
24909,NonResidential,1.0,2.0,47.67628,-122.38238,Loisirs,24120.0,0.0,24120.0,24120.0,821953.59375,29.494999999999997,66.0,1.0,0.0,88
24911,NonResidential,1.0,3.0,47.6764,-122.38502,Loisirs,35736.0,0.0,35736.0,28970.0,1108541.625,48.754999999999995,88.0,1.0,0.0,87
24943,NonResidential,1.0,1.0,47.57298,-122.33644,Non-Refrigerated Warehouse,51050.0,0.0,51050.0,49500.0,1215359.875,23.66,10.0,1.0,0.0,75
24948,NonResidential,1.0,2.0,47.57044,-122.33475,Commerce,21900.0,0.0,21900.0,21900.0,1206839.9375,35.504999999999995,40.0,1.0,0.0,62
24955,NonResidential,1.0,1.0,47.57227,-122.33843,Distribution Center,40732.0,0.0,40732.0,65164.0,213137.39844999998,3.8950000000000005,100.0,1.0,0.0,64
24958,NonResidential,1.0,1.0,47.57339,-122.33735,Non-Refrigerated Warehouse,33462.0,0.0,33462.0,33462.0,1766729.1875,12.32,1.0,1.0,0.0,52
25000,NonResidential,1.0,1.0,47.59774,-122.31936,Non-Refrigerated Warehouse,23903.0,0.0,23903.0,18925.0,409582.29689999996,14.785,65.0,1.0,0.0,86
25069,Campus,1.0,4.0,47.60776,-122.32481,Education,46100.0,0.0,46100.0,46100.0,2315938.375,86.725,75.0,1.0,0.0,93
25115,NonResidential,1.0,2.0,47.70901,-122.35498,Loisirs,21936.0,0.0,21936.0,21936.0,603249.6875,28.625,96.0,1.0,0.0,65
25148,NonResidential,1.0,2.0,47.56029,-122.2858,Office,23250.0,0.0,23250.0,22014.0,933480.5,6.505,55.0,1.0,0.0,49
25163,NonResidential,1.0,1.0,47.55966,-122.33146,Non-Refrigerated Warehouse,30000.0,0.0,30000.0,30000.0,2917363.0,126.52,32.0,1.0,0.0,56
25217,SPS-District K-12,1.0,1.0,47.57269,-122.39673,Education,51410.0,0.0,51410.0,50515.5,1917853.625,59.505,87.0,1.0,0.0,54
25222,NonResidential,1.0,39.0,47.61376,-122.33445,Hotel/Senior Care,1074552.0,112124.0,962428.0,311521.0,26845154.0,461.61,65.0,0.9,0.1,7
25268,NonResidential,1.0,4.0,47.70868,-122.30089,Office,23022.0,0.0,23022.0,23022.0,1007609.9375,14.5,78.0,1.0,0.0,36
25276,NonResidential,1.0,1.0,47.56318,-122.32889,Non-Refrigerated Warehouse,31569.0,0.0,31569.0,33000.0,2886451.25,117.35,12.0,1.0,0.0,54
